Employee_ID,Age,Gender,Country,Industry,Work_Mode,Work_Hours_Per_Week,Stress_Level,Sleep_Hours,Productivity_Score,Physical_Activity_Hours,Mental_Health_Support_Access,Burnout_Risk
EMP_0027,36,Male,USA,Finance,Remote,57,4,5.945263596102576,70,4.957337953024604,No,High
EMP_0028,24,Female,Brazil,Healthcare,Remote,31,1,7.355861585717567,47,7.7142998899293636,Yes,Low
EMP_0029,58,Female,Japan,Healthcare,On-site,59,5,5.45086809960974,51,0.021840945055572325,Yes,Medium
EMP_0030,28,Non-binary,UK,Education,Remote,42,9,8.107615884273399,78,8.887464047516419,No,High
EMP_0031,42,Female,Australia,Healthcare,On-site,45,4,7.885151116156603,78,2.7000204478058043,Yes,Low
EMP_0032,30,Female,Australia,Healthcare,On-site,34,1,6.152945183127742,68,6.679367445480652,No,Low
EMP_0033,39,Non-binary,France,Finance,Remote,57,7,7.431578989458539,94,8.063552807935896,Yes,Low
EMP_0034,25,Female,Australia,Education,Hybrid,49,3,7.099504671171496,61,1.6414774055900205,Yes,Low
EMP_0035,46,Female,UK,Healthcare,Hybrid,53,3,8.778759383383495,78,4.42509481329229,Yes,Low
EMP_0036,35,Female,USA,Retail,Hybrid,56,9,5.761025238526154,55,4.9383594065192336,No,High
EMP_0037,30,Female,Brazil,Healthcare,On-site,59,10,6.817242425807024,57,3.1211946533920454,Yes,High
EMP_0038,47,Non-binary,UK,Education,On-site,56,10,6.231179635950673,40,4.817558297289814,Yes,High
EMP_0039,23,Female,Brazil,Manufacturing,On-site,55,10,7.053781836520201,63,3.1754565765533806,No,High
EMP_0040,41,Female,Brazil,Education,Remote,36,9,7.639928323340312,62,3.6074774505520923,No,High
EMP_0041,49,Non-binary,Japan,Finance,On-site,34,1,6.217831146311549,74,6.6933117870273895,Yes,Low
EMP_0042,28,Male,USA,Manufacturing,Remote,52,10,6.563072534332945,64,6.32593268304997,No,High
EMP_0043,29,Non-binary,Singapore,Retail,Remote,57,6,8.159248957668835,98,2.3226572579752522,Yes,Low
EMP_0044,56,Male,Australia,Tech,Hybrid,63,10,8.628789594311732,86,8.974828847954246,Yes,High
EMP_0045,35,Non-binary,Singapore,Education,Hybrid,44,8,7.592219242243454,58,8.627885456713907,No,Medium
EMP_0046,38,Non-binary,Japan,Finance,Hybrid,61,7,6.834444281508209,57,5.090833066899516,No,Medium
EMP_0047,57,Female,Brazil,Retail,Remote,55,6,6.7202836947554205,91,4.332507426957504,Yes,Medium
EMP_0048,25,Male,France,Manufacturing,Remote,60,10,7.657751594472749,90,3.768559829841088,No,High
EMP_0049,23,Female,Australia,Retail,Remote,48,2,7.273320401685846,75,7.072679186664391,Yes,Low
EMP_0050,27,Male,Australia,Education,On-site,38,3,5.0212289945304365,61,6.716660572094705,No,Low
EMP_0051,25,Non-binary,USA,Healthcare,Remote,58,4,7.686862278769484,89,1.9618060693797867,No,High
EMP_0052,50,Non-binary,Germany,Education,Hybrid,33,1,5.9673162526929255,79,6.714580313003613,No,Low
EMP_0053,39,Male,India,Tech,Hybrid,32,7,5.299676309829217,77,2.5243119410203994,No,High
EMP_0054,47,Female,India,Education,Remote,58,8,4.99798613426953,74,0.18558336523525565,No,Low
EMP_0055,55,Female,India,Manufacturing,Remote,40,5,6.7406747545800165,76,6.99208677537377,Yes,Medium
EMP_0056,31,Female,Germany,Manufacturing,Hybrid,62,8,5.780170765380877,89,6.447936024607496,Yes,Low
EMP_0057,57,Female,USA,Education,Remote,40,3,4.208366128312964,60,4.108092623743414,Yes,Low
EMP_0058,35,Non-binary,Germany,Manufacturing,Hybrid,56,8,6.569853391795827,66,5.2568605591950615,No,Medium
EMP_0059,52,Non-binary,India,Healthcare,On-site,62,8,6.411314998136961,53,9.471691917057596,Yes,Low
EMP_0060,36,Non-binary,Japan,Retail,Hybrid,50,10,6.820118662409944,80,5.9520018090543765,Yes,High
EMP_0061,29,Non-binary,UK,Education,On-site,60,8,6.2453224551491475,82,6.578839353365314,No,Low
EMP_0062,35,Non-binary,Brazil,Healthcare,Remote,31,6,9.195195596232734,78,0.6391132094914109,No,Medium
EMP_0063,44,Female,Germany,Retail,Remote,56,9,7.6208047536203685,48,1.6599446067512524,No,High
EMP_0064,42,Female,USA,Retail,On-site,40,5,6.400464011654227,96,3.0095227641158817,Yes,Low
EMP_0065,37,Female,USA,Healthcare,Remote,47,5,6.9236477950631645,55,5.393793180281431,Yes,Medium
EMP_0066,39,Female,Singapore,Finance,On-site,30,2,8.697571200994417,64,7.765908959833212,No,Low
EMP_0067,45,Non-binary,UK,Education,Remote,64,8,8.14794737408259,58,3.2124087778858703,Yes,Low
EMP_0068,47,Non-binary,France,Retail,Hybrid,64,10,5.324545822749961,54,3.5638243047877394,Yes,High
EMP_0069,46,Non-binary,Australia,Retail,Remote,60,8,5.830851327008045,90,2.5615088517374884,No,Medium
EMP_0070,50,Male,India,Manufacturing,Hybrid,57,10,6.061783751171991,84,2.546093292953059,Yes,High
EMP_0071,36,Female,France,Retail,Hybrid,30,8,6.47236005887703,93,9.488638458947966,No,Low
EMP_0072,22,Female,Singapore,Healthcare,On-site,54,8,6.28549215654875,72,6.354571796188901,Yes,Medium
EMP_0073,46,Non-binary,India,Retail,Remote,49,10,7.040811105833293,100,1.5590124353994683,No,High
EMP_0074,28,Female,UK,Finance,On-site,32,5,7.882865573222666,83,7.222485780842599,Yes,Low
EMP_0075,30,Female,Singapore,Education,Remote,31,8,8.083192347258983,83,7.22021143360029,Yes,Medium
EMP_0076,45,Non-binary,India,Education,Hybrid,47,4,6.607843188520851,92,6.664701960537051,No,Low
EMP_0077,22,Male,UK,Retail,Hybrid,39,7,5.038367777494725,61,1.347204450906636,No,Medium
EMP_0078,29,Male,Canada,Tech,Remote,34,1,5.7515080697539105,68,4.079914834695869,No,Low
EMP_0079,45,Male,France,Tech,Remote,38,1,6.376270252443963,85,1.0675633049441313,No,Low
EMP_0080,32,Non-binary,France,Healthcare,On-site,31,8,5.505958648898371,68,8.166205040921366,Yes,Low
EMP_0081,38,Female,Australia,Tech,Remote,63,9,8.369030784041936,93,6.5517214317791925,No,High
EMP_0082,29,Non-binary,UK,Healthcare,Remote,60,6,5.5845507297031265,45,5.072039367678184,No,High
EMP_0083,56,Non-binary,Germany,Manufacturing,Remote,39,9,7.740475653682243,69,3.430154765005966,No,High
EMP_0084,56,Female,Canada,Healthcare,On-site,41,6,4.981743573972954,87,1.842494744944334,No,Medium
EMP_0085,54,Male,Japan,Tech,Remote,50,10,7.788641321555264,61,1.064475888331079,No,High
EMP_0086,26,Male,India,Retail,Hybrid,35,8,6.832877551998897,69,9.692406075368996,Yes,Low
EMP_0087,49,Non-binary,Canada,Manufacturing,On-site,32,1,8.81503684276306,94,1.9964864195602305,No,Low
EMP_0088,28,Male,UK,Tech,On-site,39,3,5.642124872144404,41,0.5987462672138566,No,Low
EMP_0089,30,Non-binary,Brazil,Healthcare,Hybrid,34,1,6.323062239266086,73,9.616667721824964,No,Low
EMP_0090,29,Non-binary,India,Finance,Hybrid,55,4,6.555480878307472,53,5.489517413578271,Yes,Low
EMP_0091,33,Female,USA,Education,Hybrid,50,10,6.8169999158196255,57,7.966567349911429,Yes,High
EMP_0092,55,Female,France,Tech,Remote,55,5,6.584823002917011,80,0.4376584719831855,Yes,Low
EMP_0093,54,Female,UK,Healthcare,Hybrid,55,4,6.607985720909216,41,5.669458574796547,No,Low
EMP_0094,44,Non-binary,USA,Manufacturing,Remote,37,7,6.588324947937204,84,3.9820996411799516,No,Medium
EMP_0095,45,Female,Australia,Tech,On-site,34,2,4.514584140903441,83,7.719644343498835,Yes,Low
EMP_0096,58,Male,Singapore,Tech,On-site,44,3,8.192001401929321,55,0.3842564563905859,Yes,Low
EMP_0097,56,Male,Japan,Education,Hybrid,45,5,10.0,76,4.016905685616143,No,Low
EMP_0098,43,Non-binary,Japan,Healthcare,Remote,30,3,7.357925325521186,44,7.99073419486196,No,Low
EMP_0099,48,Non-binary,USA,Finance,Hybrid,45,2,5.6370989825700475,49,5.226972646383699,No,Low
EMP_0100,56,Female,France,Manufacturing,Hybrid,32,1,5.758553642982055,40,5.50038740998604,Yes,Low
EMP_0101,22,Non-binary,Australia,Healthcare,Remote,60,7,7.735808802269881,88,0.971646819659655,No,Low
EMP_0102,56,Non-binary,Brazil,Manufacturing,Hybrid,42,6,7.462563371017892,100,1.3233055612009137,No,Medium
EMP_0103,58,Male,France,Tech,On-site,45,2,6.6588518673359935,71,6.7699960536578585,Yes,Low
EMP_0104,35,Male,Canada,Education,Hybrid,50,4,7.904085245055023,54,6.750466222899199,Yes,High
EMP_0105,24,Female,Japan,Education,Remote,31,5,4.52333794389461,57,9.791033942522734,Yes,Low
EMP_0106,22,Non-binary,Canada,Retail,Remote,56,4,7.904874552677349,54,7.119529880655504,No,Low
EMP_0107,26,Non-binary,India,Finance,On-site,55,10,7.285313397513871,96,4.932434959334473,Yes,High
EMP_0108,47,Male,Germany,Education,Remote,54,6,5.804862411060121,87,8.573278235335529,Yes,High
EMP_0109,35,Non-binary,UK,Tech,Remote,40,10,5.2800112859431785,86,1.0447298581593623,No,High
EMP_0110,48,Male,Australia,Finance,On-site,37,5,7.145592739294753,77,4.492958208962545,No,Low
EMP_0111,30,Female,France,Healthcare,Hybrid,37,7,8.688685764121317,100,2.8710911092756977,Yes,Medium
EMP_0112,36,Male,Japan,Education,On-site,62,10,6.726288121603559,58,1.0463780692762559,No,High
EMP_0113,36,Non-binary,Canada,Finance,Hybrid,36,5,5.976777980520593,79,7.635020847203663,Yes,Low
EMP_0114,47,Female,Singapore,Tech,On-site,50,10,7.229545912163503,70,5.107920304988839,No,High
EMP_0115,34,Male,India,Retail,Hybrid,37,3,9.18504617214817,59,5.567687198974907,No,Low
EMP_0116,53,Male,UK,Manufacturing,On-site,50,8,7.517559775676459,67,4.11255187910329,Yes,Low
EMP_0117,53,Female,UK,Manufacturing,Hybrid,49,9,7.647282385851289,69,4.603372316027352,Yes,High
EMP_0118,25,Female,France,Tech,On-site,37,8,8.467358363164667,54,1.1601738712300314,Yes,Low
EMP_0119,51,Male,Australia,Tech,Hybrid,60,7,7.567068879260587,80,6.729178242869764,No,Low
EMP_0120,58,Non-binary,Brazil,Manufacturing,On-site,58,5,6.062836351407815,42,4.324473596052138,Yes,Medium
EMP_0121,44,Male,Singapore,Retail,Remote,38,5,4.9065220577223565,88,8.167675731295832,No,Medium
EMP_0122,36,Female,France,Finance,Hybrid,44,4,5.894016256266085,41,1.962872001430761,No,Medium
EMP_0123,50,Male,Canada,Manufacturing,On-site,59,4,5.67432843388279,87,2.0505509341883577,Yes,Low
EMP_0124,57,Female,Germany,Tech,Hybrid,55,10,7.791169743413593,76,6.457595715306877,No,High
EMP_0125,34,Female,USA,Education,Hybrid,39,8,7.958017661618929,100,8.46003423397397,No,Medium
EMP_0126,53,Non-binary,Brazil,Healthcare,On-site,58,10,7.210686474058586,56,4.721978386181753,Yes,High
EMP_0127,28,Female,Australia,Retail,Hybrid,45,3,5.477569627788192,72,7.269538687331,No,Low
EMP_0128,43,Female,India,Retail,On-site,49,10,9.143916428712036,62,9.993299214930856,No,High
EMP_0129,49,Non-binary,Brazil,Education,Remote,51,9,6.500547743392493,59,9.902656397289281,Yes,High
EMP_0130,23,Female,Japan,Education,Hybrid,36,4,7.724177212361844,54,7.443368428217001,Yes,Medium
EMP_0131,27,Non-binary,Australia,Tech,Remote,52,9,7.059189804039471,66,7.395864896782488,No,High
EMP_0132,49,Non-binary,Germany,Manufacturing,Hybrid,58,10,7.250396179899898,62,2.4761888719890566,No,High
EMP_0133,49,Female,Japan,Finance,Hybrid,45,9,7.681820804008478,74,8.335396315437738,No,High
EMP_0134,41,Female,Brazil,Retail,Hybrid,57,9,6.164775806078858,91,4.051021270471206,No,High
EMP_0135,51,Male,USA,Retail,On-site,60,8,8.5664829115182,100,9.619939098668226,Yes,High
EMP_0136,32,Non-binary,USA,Education,Remote,43,1,5.104593499495273,78,0.8142768870693551,No,Low
EMP_0137,49,Male,Germany,Manufacturing,Hybrid,62,10,5.753732432756939,59,4.35840368872726,No,High
EMP_0138,46,Female,UK,Retail,On-site,38,2,8.550915249204499,48,5.558404876834986,No,Low
EMP_0139,54,Male,Singapore,Finance,Hybrid,56,9,7.708005713325365,87,4.051562070861649,No,High
EMP_0140,22,Non-binary,India,Education,On-site,53,8,10.0,87,2.1057919050494336,Yes,Low
EMP_0141,48,Male,UK,Finance,Hybrid,42,4,7.082020532383757,65,5.929884887825098,No,Medium
EMP_0142,34,Non-binary,USA,Manufacturing,Remote,55,5,9.040515155750912,77,7.559179146251376,Yes,Medium
EMP_0143,24,Female,USA,Retail,Remote,58,10,4.771025460803916,46,6.448385960201964,Yes,High
EMP_0144,27,Female,Canada,Healthcare,Hybrid,57,5,5.303782032163366,73,2.344488488080395,Yes,High
EMP_0145,29,Non-binary,Japan,Retail,On-site,57,6,8.074630644900369,49,7.31607944368524,Yes,Low
EMP_0146,48,Female,Brazil,Manufacturing,Hybrid,37,9,4.9115586092626184,61,2.5689780604456325,Yes,High
EMP_0147,30,Female,India,Retail,On-site,52,3,6.763158871588613,57,1.7520236292404001,No,Low
EMP_0148,58,Female,Germany,Retail,Hybrid,58,10,8.40065090037659,76,6.906680154387221,Yes,High
EMP_0149,54,Female,Brazil,Tech,On-site,34,1,7.601405517386402,87,8.427872461139291,Yes,Low
EMP_0150,45,Non-binary,Canada,Retail,Remote,36,8,7.013314264383495,47,4.815394476965745,Yes,Medium
EMP_0151,36,Male,USA,Retail,Hybrid,56,4,6.461071037404822,74,5.313917931384378,No,Medium
EMP_0152,53,Male,Germany,Finance,Remote,31,3,7.242671049510357,100,3.027475704712325,Yes,Low
EMP_0153,53,Female,USA,Healthcare,Remote,54,9,7.692698046850635,59,4.9461801511003225,No,High
EMP_0154,45,Male,India,Finance,Hybrid,38,2,6.206926795616581,79,1.319829980124072,Yes,Low
EMP_0155,33,Male,Japan,Finance,Hybrid,56,10,7.4460832336144565,42,9.5583082968299,Yes,High
EMP_0156,23,Female,Brazil,Education,On-site,30,6,8.294116893038453,48,8.003606536565963,No,High
EMP_0157,24,Female,Brazil,Tech,On-site,52,5,6.73302624004017,83,6.679730608221847,No,High
EMP_0158,58,Male,UK,Finance,Remote,39,4,7.0817474201687824,65,5.38194371684403,No,Low
EMP_0159,38,Non-binary,Germany,Manufacturing,On-site,54,9,7.580534600803333,72,7.9216913622796445,Yes,High
EMP_0160,23,Female,Singapore,Manufacturing,On-site,32,2,7.661601059307693,50,4.947572395858043,No,Low
EMP_0161,23,Non-binary,Canada,Retail,Hybrid,35,4,8.054144287598128,87,2.999739081545325,No,Low
EMP_0162,49,Male,Singapore,Education,On-site,35,2,5.78275005282166,91,1.6037423516667204,No,Low
EMP_0163,44,Female,UK,Tech,Remote,31,7,6.365292997137628,81,6.4758558880180725,No,Medium
EMP_0164,58,Non-binary,India,Tech,On-site,47,10,6.409745569540416,44,9.29425745026514,No,High
EMP_0165,53,Female,Canada,Retail,Remote,52,10,5.915305401804788,94,1.5361855350435116,Yes,High
EMP_0166,54,Male,Japan,Manufacturing,Hybrid,31,5,4.841903294370622,63,1.8001804505080676,No,Medium
EMP_0167,22,Non-binary,Singapore,Healthcare,Remote,41,10,4.0,63,4.33606033409535,Yes,High
EMP_0168,40,Male,Japan,Education,On-site,51,4,8.434543254103577,74,8.06899347919689,No,Medium
EMP_0169,23,Male,Singapore,Retail,Hybrid,49,8,5.135328394662949,80,2.9392272897150464,No,Low
EMP_0170,47,Female,Japan,Education,On-site,53,9,8.87981095204709,52,2.5391292467002815,Yes,High
EMP_0171,53,Non-binary,Singapore,Manufacturing,Hybrid,49,6,7.887291386339755,100,6.199662914628339,Yes,High
EMP_0172,27,Male,Japan,Manufacturing,Hybrid,30,7,6.513173944232496,52,5.3561478187433185,Yes,Medium
EMP_0173,53,Male,UK,Healthcare,On-site,30,1,7.73970652577768,55,0.6022036444523626,Yes,Low
EMP_0174,25,Non-binary,Australia,Healthcare,On-site,46,5,7.510159896056466,61,0.8148997730927654,No,Low
EMP_0175,32,Male,Canada,Tech,Hybrid,30,1,5.677870764472272,83,6.430129801847661,Yes,Low
EMP_0176,38,Male,Germany,Education,Hybrid,59,9,6.9820266716444435,43,4.651235991477796,No,High
EMP_0177,59,Non-binary,India,Education,On-site,32,2,5.82419347295021,88,9.70977191589147,No,Low
EMP_0178,45,Non-binary,France,Manufacturing,Remote,40,1,7.78495360260531,79,6.785314107300647,No,Low
EMP_0179,26,Non-binary,USA,Tech,On-site,53,4,6.141734857840735,54,0.10073661993231453,Yes,Medium
EMP_0180,55,Non-binary,Germany,Retail,Hybrid,51,5,6.884044556563993,62,4.810187798004618,Yes,Medium
EMP_0181,27,Female,USA,Education,On-site,55,10,6.8322412971871005,74,4.1444793503547945,Yes,High
EMP_0182,43,Non-binary,Canada,Tech,Remote,42,8,7.145894800647259,73,1.067138599937687,No,Low
EMP_0183,32,Female,Germany,Tech,On-site,30,5,8.995066097336826,100,9.232088358721901,Yes,Medium
EMP_0184,37,Female,Japan,Manufacturing,Hybrid,53,6,6.710847300572898,82,8.050112990817237,Yes,Medium
EMP_0185,54,Female,Japan,Tech,On-site,39,1,8.461512570369418,94,2.3008590842000185,No,Low
EMP_0186,30,Male,France,Healthcare,Hybrid,64,10,7.575996393202045,95,2.559807588429972,Yes,High
EMP_0187,27,Female,USA,Healthcare,Hybrid,53,6,8.702083055243898,81,0.32018053319450956,No,Low
EMP_0188,37,Female,India,Finance,On-site,57,6,6.593877058222217,55,2.9671745157904095,Yes,Medium
EMP_0189,50,Male,Canada,Manufacturing,Hybrid,45,10,7.8353634903634815,60,5.846220089133536,Yes,High
EMP_0190,24,Male,Japan,Retail,Hybrid,45,10,6.92887837287959,43,4.208433883866682,Yes,High
EMP_0191,41,Male,Australia,Finance,Remote,46,5,4.0,49,9.692554637196809,Yes,Low
EMP_0192,57,Non-binary,UK,Healthcare,Remote,44,4,5.692187697975429,50,0.5608016926367088,Yes,Low
EMP_0193,40,Male,UK,Finance,Remote,45,10,7.698852335143302,100,5.9143015889901065,No,High
EMP_0194,47,Male,Singapore,Manufacturing,Remote,44,2,7.619517899535998,97,8.583094405070481,Yes,Low
EMP_0195,24,Female,India,Manufacturing,Hybrid,63,9,5.446027133638092,84,4.8074091240972265,Yes,High
EMP_0196,40,Male,UK,Tech,On-site,40,4,7.2644410586056045,90,0.029627205603968143,Yes,Medium
EMP_0197,41,Non-binary,Singapore,Education,Hybrid,30,7,7.603912271830606,50,2.4280149982627517,Yes,Low
EMP_0198,53,Male,USA,Tech,Hybrid,44,5,6.958401316314872,65,3.2376897566796616,Yes,Low
EMP_0199,28,Non-binary,Japan,Manufacturing,Hybrid,55,10,7.874582365191563,58,9.659944945574624,Yes,High
EMP_0200,54,Male,Japan,Healthcare,On-site,33,7,7.711066369514523,87,9.117732818386994,Yes,High
EMP_0201,39,Male,Australia,Retail,Remote,34,1,6.957827704714351,51,9.491705051076304,No,Low
EMP_0202,22,Male,Germany,Healthcare,Hybrid,64,10,6.387010217363057,51,8.257584576169684,No,High
EMP_0203,32,Male,UK,Tech,Hybrid,42,3,8.25104991051101,67,3.5164773411390438,Yes,Low
EMP_0204,49,Non-binary,USA,Retail,Remote,39,3,7.5557945174545855,61,9.058764220962006,No,Low
EMP_0205,46,Non-binary,Brazil,Manufacturing,Hybrid,40,1,5.342280816963642,43,9.816845059370488,Yes,Low
EMP_0206,44,Female,UK,Healthcare,On-site,47,2,7.265077187297665,60,3.500713122749529,No,Low
EMP_0207,52,Non-binary,India,Manufacturing,Hybrid,63,5,5.6187703486507194,40,2.6055596598644892,Yes,Medium
EMP_0208,51,Male,Germany,Retail,Hybrid,52,10,5.84251848108499,68,5.469162927822213,Yes,High
EMP_0209,56,Female,UK,Retail,Remote,36,7,6.217707957537236,82,1.8715219259893001,No,Low
EMP_0210,28,Female,USA,Healthcare,Hybrid,32,3,7.053847882791643,94,0.32624221406380216,Yes,Low
EMP_0211,37,Female,UK,Manufacturing,Hybrid,41,5,7.449382693109543,60,9.458311711158697,No,Low
EMP_0212,47,Male,India,Finance,On-site,36,8,6.509269732910474,81,9.257406324414193,Yes,Medium
EMP_0213,23,Non-binary,Brazil,Manufacturing,Remote,55,6,6.561780860447518,73,1.6265385376212105,Yes,Low
EMP_0214,22,Male,Canada,Retail,Remote,62,7,6.396107613637983,93,4.077402469297194,Yes,Medium
EMP_0215,33,Female,France,Manufacturing,On-site,44,7,8.257016364505155,99,8.310363132726856,Yes,High
EMP_0216,26,Male,Brazil,Tech,Hybrid,31,7,4.0,40,6.61000298820853,No,Low
EMP_0217,58,Male,Singapore,Finance,Remote,36,5,6.62958710839026,51,3.9478750917071395,Yes,Low
EMP_0218,53,Non-binary,UK,Education,Remote,61,6,8.85398175445884,52,7.44170997182819,No,High
EMP_0219,30,Non-binary,Japan,Tech,Hybrid,33,1,7.6206760603328645,64,8.97047388210191,No,Low
EMP_0220,56,Female,Australia,Education,Hybrid,49,3,8.52021668868055,97,9.26158330525868,Yes,Low
EMP_0221,40,Male,Japan,Healthcare,Remote,61,5,4.558901368586892,81,3.7884961192218904,Yes,Medium
EMP_0222,37,Male,Brazil,Education,Hybrid,57,10,5.509300922237053,70,1.7356068007281888,No,High
EMP_0223,24,Non-binary,Japan,Manufacturing,Remote,42,10,7.6168577688237615,78,9.12838858193975,No,High
EMP_0224,41,Male,USA,Education,Hybrid,30,7,8.860756711909202,82,0.9255544586102826,Yes,High
EMP_0225,45,Male,Japan,Retail,Hybrid,64,10,5.630516539786327,59,7.216883912281636,No,High
EMP_0226,54,Male,Germany,Tech,On-site,59,10,6.534685860752173,43,1.4049731486080164,No,High
EMP_0227,45,Non-binary,Canada,Tech,Hybrid,54,9,7.481756970240394,44,3.893868546676922,No,High
EMP_0228,32,Female,UK,Education,On-site,45,4,5.257001923494763,77,4.115557465450274,Yes,Low
EMP_0229,29,Female,Japan,Tech,Hybrid,48,9,7.62602951149718,75,1.5875791511208337,No,High
EMP_0230,57,Male,India,Retail,Remote,30,1,4.0,40,9.22681434006612,No,Low
EMP_0231,59,Female,Canada,Tech,Remote,34,1,7.590687357357826,83,0.026681680092862647,No,Low
EMP_0232,41,Non-binary,Canada,Education,Hybrid,51,10,5.805898038534589,49,8.938085432166305,No,High
EMP_0233,56,Non-binary,Japan,Finance,Hybrid,53,5,6.462883371380304,61,8.838293234754854,Yes,Medium
EMP_0234,46,Female,Canada,Finance,Remote,33,5,7.7822607375243615,100,3.169636536980016,Yes,Low
EMP_0235,56,Female,Australia,Healthcare,Hybrid,47,2,7.536702586590701,56,7.0428426987927555,No,Low
EMP_0236,46,Male,Japan,Tech,On-site,45,9,6.990422554777955,62,2.528089112983155,No,High
EMP_0237,50,Female,USA,Education,On-site,47,8,8.16284866196242,59,7.587735622539384,No,Medium
EMP_0238,39,Male,Brazil,Tech,On-site,51,6,4.959788784857412,59,5.611197417877434,Yes,Low
EMP_0239,39,Male,Germany,Manufacturing,On-site,31,3,7.245297245801696,54,3.0022545424765834,Yes,Low
EMP_0240,23,Non-binary,France,Retail,On-site,50,10,6.05179584296982,88,4.002347536376546,No,High
EMP_0241,56,Non-binary,Singapore,Tech,Hybrid,58,4,8.101637762415983,58,6.898887322384035,No,Medium
EMP_0242,37,Non-binary,Canada,Tech,Hybrid,55,7,7.8244804835633435,49,9.06097449643783,Yes,Medium
EMP_0243,57,Non-binary,USA,Finance,On-site,50,3,7.8680178626368065,57,1.3072651656727463,No,Low
EMP_0244,54,Female,UK,Retail,Hybrid,46,2,8.974458199248561,65,5.713639696691572,No,Low
EMP_0245,25,Non-binary,UK,Education,Hybrid,45,10,8.351617038921972,63,2.5372919945711745,Yes,High
EMP_0246,54,Female,Singapore,Tech,On-site,60,5,6.811094399471907,58,8.013722498754593,Yes,High
EMP_0247,35,Non-binary,Germany,Finance,Hybrid,38,6,6.998478575815004,89,0.7023730586948107,Yes,Medium
EMP_0248,42,Female,Canada,Healthcare,Hybrid,60,10,7.721126056854072,59,6.889557901711698,Yes,High
EMP_0249,41,Male,Australia,Retail,Hybrid,43,4,7.163409609697395,55,1.749460136910298,Yes,Low
EMP_0250,29,Female,Singapore,Finance,On-site,31,1,7.846207986291661,83,5.963854184032292,No,Low
EMP_0251,28,Female,Germany,Finance,Hybrid,43,3,4.323615490272365,64,8.35692587192692,Yes,Low
EMP_0252,24,Non-binary,Canada,Finance,Remote,62,10,9.256964222551979,100,7.550806621216796,Yes,High
EMP_0253,38,Female,USA,Tech,Remote,64,10,7.073234300267585,71,7.529428876836373,Yes,High
EMP_0254,54,Male,Brazil,Tech,On-site,49,7,5.0530416029289285,89,5.178453121869052,Yes,Low
