Pilgrim_ID,Country,Gender,Age_Group,Accommodation_Type,Transport_Type,Stay_Duration,Estimated_Spending_SAR,Group_Size
68,Bangladesh,Female,46-60,Hotel (5 Star),Train (Haramain),14 days,25369,5
69,Malaysia,Female,46-60,Apartment,Group Transport,10 days,17881,3
70,UAE,Female,18-30,Hotel (3 Star),Bus,14 days,14587,3
71,Bangladesh,Female,46-60,Hotel (5 Star),Train (Haramain),7 days,33264,5
72,Egypt,Female,18-30,Hotel (3 Star),Group Transport,21 days,13791,1
73,India,Male,31-45,Camp (Mina),Train (Haramain),21 days,27375,5
74,Egypt,Male,60+,Apartment,Private Car,21 days,27611,4
75,Bangladesh,Male,60+,Apartment,Train (Haramain),21 days,12833,5
76,UK,Male,60+,Hotel (3 Star),Bus,10 days,20754,1
77,UAE,Male,46-60,Camp (Mina),Train (Haramain),10 days,17577,5
78,UAE,Male,18-30,Hotel (5 Star),Bus,14 days,36095,3
79,Pakistan,Male,18-30,Hotel (5 Star),Private Car,10 days,26248,2
80,UAE,Female,31-45,Apartment,Bus,7 days,36891,3
81,Malaysia,Female,46-60,Hotel (3 Star),Train (Haramain),7 days,29124,2
82,UAE,Female,31-45,Hotel (3 Star),Group Transport,21 days,9566,5
83,Bangladesh,Female,18-30,Hotel (5 Star),Private Car,7 days,7196,4
84,Pakistan,Male,18-30,Camp (Mina),Train (Haramain),14 days,36115,5
85,Bangladesh,Male,60+,Camp (Mina),Private Car,10 days,24859,1
86,Bangladesh,Female,46-60,Hotel (5 Star),Private Car,10 days,16345,5
87,Indonesia,Female,18-30,Hotel (5 Star),Train (Haramain),10 days,39077,2
88,Pakistan,Male,60+,Hotel (3 Star),Train (Haramain),7 days,5864,3
89,Bangladesh,Female,46-60,Camp (Mina),Group Transport,10 days,17055,4
90,Indonesia,Female,31-45,Hotel (5 Star),Private Car,21 days,24747,5
91,Indonesia,Female,46-60,Hotel (5 Star),Private Car,21 days,16978,5
92,Pakistan,Female,46-60,Apartment,Train (Haramain),21 days,29599,3
93,Egypt,Male,18-30,Hotel (5 Star),Bus,7 days,22615,4
94,UK,Female,18-30,Hotel (5 Star),Train (Haramain),10 days,34377,5
95,Malaysia,Female,46-60,Camp (Mina),Private Car,7 days,35031,5
96,UK,Male,18-30,Hotel (3 Star),Train (Haramain),10 days,16760,2
97,UAE,Male,18-30,Camp (Mina),Group Transport,14 days,38714,2
98,Malaysia,Female,18-30,Hotel (3 Star),Bus,14 days,30762,1
99,UAE,Male,60+,Apartment,Train (Haramain),7 days,39332,3
100,Bangladesh,Female,60+,Hotel (5 Star),Group Transport,21 days,9944,4
101,India,Female,46-60,Apartment,Private Car,7 days,18877,5
102,Pakistan,Male,18-30,Hotel (3 Star),Train (Haramain),21 days,34990,5
103,Malaysia,Female,60+,Camp (Mina),Private Car,10 days,39076,1
104,Malaysia,Female,46-60,Camp (Mina),Group Transport,21 days,8258,5
105,Bangladesh,Female,18-30,Apartment,Private Car,21 days,36629,3
106,Egypt,Female,31-45,Hotel (3 Star),Group Transport,10 days,27958,1
107,Indonesia,Male,18-30,Apartment,Group Transport,14 days,25317,3
108,Bangladesh,Male,18-30,Apartment,Group Transport,10 days,20775,1
109,Nigeria,Female,60+,Hotel (5 Star),Train (Haramain),7 days,16039,5
110,Indonesia,Male,46-60,Apartment,Private Car,7 days,34097,1
111,Pakistan,Female,46-60,Hotel (5 Star),Private Car,7 days,39207,2
112,Indonesia,Female,60+,Hotel (5 Star),Bus,7 days,27553,4
113,Egypt,Female,18-30,Camp (Mina),Bus,7 days,5055,5
114,Indonesia,Female,31-45,Hotel (5 Star),Bus,14 days,28161,4
115,Pakistan,Female,18-30,Hotel (5 Star),Bus,14 days,37873,5
116,Egypt,Male,18-30,Camp (Mina),Private Car,21 days,20184,4
117,UK,Female,31-45,Apartment,Group Transport,7 days,5669,2
118,Malaysia,Male,60+,Hotel (3 Star),Group Transport,10 days,17663,4
119,Malaysia,Male,46-60,Hotel (3 Star),Train (Haramain),7 days,30318,1
120,UAE,Female,60+,Hotel (3 Star),Group Transport,14 days,38734,4
121,UK,Female,60+,Apartment,Private Car,7 days,21691,5
122,UK,Female,18-30,Hotel (5 Star),Private Car,14 days,23522,3
123,Indonesia,Female,46-60,Hotel (3 Star),Private Car,21 days,16656,4
124,Malaysia,Female,46-60,Apartment,Train (Haramain),21 days,20893,4
125,Pakistan,Male,60+,Hotel (5 Star),Bus,21 days,21493,4
126,Turkey,Female,31-45,Camp (Mina),Group Transport,14 days,8632,5
127,Turkey,Female,60+,Hotel (3 Star),Private Car,7 days,35336,4
128,Egypt,Male,31-45,Hotel (5 Star),Private Car,7 days,28112,5
129,Malaysia,Male,46-60,Hotel (3 Star),Bus,10 days,18266,5
130,Malaysia,Female,60+,Hotel (3 Star),Private Car,14 days,21940,3
131,Turkey,Male,18-30,Hotel (3 Star),Group Transport,10 days,29003,1
132,Malaysia,Female,60+,Hotel (5 Star),Train (Haramain),21 days,37872,5
133,Indonesia,Male,46-60,Apartment,Private Car,7 days,39815,2
134,Nigeria,Male,18-30,Hotel (5 Star),Group Transport,14 days,35869,4
135,India,Female,18-30,Hotel (3 Star),Private Car,10 days,22257,2
136,UK,Male,31-45,Hotel (5 Star),Bus,10 days,21682,4
137,UAE,Male,18-30,Camp (Mina),Private Car,10 days,24622,3
138,Egypt,Male,18-30,Apartment,Private Car,7 days,35408,5
139,Nigeria,Male,60+,Hotel (5 Star),Train (Haramain),7 days,13837,1
140,Turkey,Male,46-60,Camp (Mina),Bus,7 days,20407,5
141,UK,Male,31-45,Apartment,Bus,14 days,34309,4
142,Malaysia,Female,60+,Camp (Mina),Train (Haramain),7 days,11382,1
143,UAE,Female,18-30,Apartment,Private Car,14 days,32654,5
144,Malaysia,Male,18-30,Hotel (5 Star),Group Transport,10 days,23895,1
145,Pakistan,Female,31-45,Camp (Mina),Bus,10 days,38551,4
146,Pakistan,Female,46-60,Hotel (3 Star),Bus,21 days,26376,3
147,UAE,Female,31-45,Camp (Mina),Private Car,7 days,5370,3
148,UAE,Male,60+,Apartment,Private Car,10 days,5486,5
149,Turkey,Female,31-45,Hotel (5 Star),Bus,7 days,28762,2
150,UAE,Male,18-30,Apartment,Private Car,14 days,31613,4
151,Indonesia,Female,60+,Camp (Mina),Group Transport,10 days,8196,5
152,Malaysia,Male,18-30,Camp (Mina),Bus,7 days,34401,5
153,Nigeria,Male,46-60,Hotel (3 Star),Group Transport,10 days,15813,3
154,Bangladesh,Female,18-30,Hotel (5 Star),Group Transport,10 days,13572,1
155,UAE,Female,18-30,Hotel (5 Star),Private Car,7 days,33225,4
156,Egypt,Male,31-45,Camp (Mina),Group Transport,10 days,37275,1
157,Pakistan,Female,18-30,Hotel (5 Star),Private Car,10 days,11843,4
158,Indonesia,Female,60+,Hotel (3 Star),Train (Haramain),10 days,6105,2
159,UK,Female,60+,Apartment,Private Car,10 days,36639,3
160,Bangladesh,Male,46-60,Hotel (5 Star),Group Transport,14 days,23051,2
161,Nigeria,Male,60+,Camp (Mina),Train (Haramain),10 days,33708,5
162,Bangladesh,Female,31-45,Apartment,Private Car,21 days,16864,3
163,UAE,Female,46-60,Apartment,Group Transport,10 days,39764,5
164,Turkey,Female,60+,Hotel (3 Star),Bus,7 days,6425,2
165,Pakistan,Male,31-45,Camp (Mina),Bus,21 days,11849,4
166,Pakistan,Male,60+,Hotel (5 Star),Private Car,14 days,23976,5
167,UK,Female,60+,Camp (Mina),Private Car,21 days,39258,1
168,Turkey,Female,18-30,Apartment,Bus,21 days,36113,4
169,Malaysia,Female,60+,Camp (Mina),Group Transport,21 days,20401,4
170,India,Female,60+,Hotel (5 Star),Group Transport,7 days,17884,2
171,Indonesia,Female,31-45,Hotel (5 Star),Group Transport,7 days,23824,2
172,Pakistan,Female,31-45,Hotel (3 Star),Private Car,7 days,39414,3
173,Egypt,Male,18-30,Hotel (5 Star),Train (Haramain),14 days,21142,3
174,Pakistan,Female,60+,Hotel (5 Star),Train (Haramain),7 days,10956,1
175,Bangladesh,Male,18-30,Camp (Mina),Train (Haramain),7 days,18928,4
176,Pakistan,Female,60+,Camp (Mina),Train (Haramain),21 days,14721,1
177,Pakistan,Female,46-60,Apartment,Train (Haramain),7 days,16157,1
178,India,Male,46-60,Hotel (3 Star),Private Car,10 days,11696,2
179,India,Male,18-30,Camp (Mina),Private Car,7 days,32862,1
180,Nigeria,Male,18-30,Hotel (5 Star),Train (Haramain),14 days,10190,1
181,Malaysia,Male,18-30,Apartment,Private Car,14 days,9663,5
182,Egypt,Female,31-45,Camp (Mina),Private Car,10 days,9331,3
183,Pakistan,Male,31-45,Hotel (3 Star),Train (Haramain),14 days,33549,3
184,Pakistan,Female,31-45,Hotel (3 Star),Group Transport,14 days,21246,4
185,Indonesia,Male,18-30,Apartment,Private Car,21 days,30761,3
186,India,Female,60+,Apartment,Group Transport,10 days,8262,4
187,Egypt,Female,46-60,Apartment,Private Car,21 days,12036,5
188,UK,Female,18-30,Apartment,Private Car,21 days,27322,3
189,Nigeria,Female,31-45,Apartment,Train (Haramain),7 days,24131,5
190,Malaysia,Female,31-45,Hotel (5 Star),Private Car,10 days,9677,3
191,Turkey,Female,18-30,Hotel (5 Star),Bus,7 days,12972,3
192,Malaysia,Male,18-30,Camp (Mina),Bus,7 days,20329,5
193,Bangladesh,Female,31-45,Hotel (3 Star),Train (Haramain),21 days,25493,1
194,Pakistan,Male,60+,Hotel (5 Star),Group Transport,14 days,23595,1
195,Nigeria,Male,31-45,Hotel (5 Star),Group Transport,10 days,26923,1
196,Bangladesh,Female,31-45,Hotel (5 Star),Group Transport,14 days,14735,1
197,Egypt,Male,18-30,Camp (Mina),Bus,21 days,39457,3
198,Turkey,Female,60+,Apartment,Group Transport,21 days,12727,2
199,India,Male,31-45,Camp (Mina),Group Transport,21 days,12764,5
200,Nigeria,Female,31-45,Hotel (3 Star),Train (Haramain),21 days,32599,2
201,Nigeria,Male,46-60,Hotel (3 Star),Group Transport,21 days,5818,2
202,Pakistan,Female,18-30,Hotel (3 Star),Bus,21 days,38892,4
203,UAE,Female,46-60,Hotel (3 Star),Bus,14 days,10660,1
204,Nigeria,Female,46-60,Hotel (5 Star),Bus,7 days,34521,3
205,Indonesia,Female,31-45,Hotel (5 Star),Train (Haramain),14 days,39470,1
206,Turkey,Male,18-30,Camp (Mina),Train (Haramain),10 days,23385,1
207,Turkey,Female,60+,Apartment,Private Car,14 days,28296,2
208,Indonesia,Male,31-45,Hotel (3 Star),Group Transport,21 days,28616,4
209,UK,Male,60+,Camp (Mina),Train (Haramain),14 days,31382,1
210,Indonesia,Male,60+,Hotel (5 Star),Bus,7 days,16139,5
211,Indonesia,Female,18-30,Hotel (5 Star),Bus,10 days,37060,5
212,Turkey,Male,46-60,Apartment,Train (Haramain),14 days,27419,1
213,Malaysia,Male,18-30,Apartment,Train (Haramain),7 days,32785,2
214,Turkey,Male,60+,Apartment,Train (Haramain),14 days,20702,2
215,UAE,Female,31-45,Camp (Mina),Private Car,10 days,34217,3
216,Pakistan,Female,60+,Hotel (5 Star),Bus,14 days,17397,4
217,Bangladesh,Male,31-45,Hotel (5 Star),Private Car,21 days,31940,2
218,Malaysia,Female,31-45,Apartment,Private Car,14 days,33341,3
219,India,Female,18-30,Hotel (3 Star),Group Transport,7 days,15067,5
220,Bangladesh,Male,60+,Apartment,Bus,14 days,18824,5
221,Pakistan,Male,46-60,Camp (Mina),Bus,7 days,18444,5
222,UAE,Female,60+,Apartment,Train (Haramain),10 days,38307,1
223,UAE,Male,60+,Apartment,Train (Haramain),14 days,15974,4
224,India,Female,46-60,Camp (Mina),Group Transport,10 days,34290,3
225,Malaysia,Female,18-30,Apartment,Private Car,10 days,21016,4
226,UK,Female,60+,Hotel (5 Star),Train (Haramain),14 days,37112,1
227,Indonesia,Female,60+,Hotel (3 Star),Train (Haramain),7 days,33513,3
228,Malaysia,Female,31-45,Apartment,Bus,10 days,7956,3
229,UK,Female,60+,Camp (Mina),Bus,10 days,13077,2
230,UAE,Male,46-60,Hotel (3 Star),Train (Haramain),14 days,39938,4
231,Turkey,Male,31-45,Camp (Mina),Bus,14 days,23000,4
232,Pakistan,Female,18-30,Hotel (3 Star),Group Transport,14 days,18806,2
233,India,Female,31-45,Hotel (3 Star),Train (Haramain),14 days,17809,5
234,Pakistan,Female,46-60,Apartment,Bus,14 days,19855,1
235,Egypt,Male,46-60,Hotel (5 Star),Group Transport,21 days,34388,4
236,Egypt,Female,31-45,Apartment,Bus,14 days,11458,2
237,Malaysia,Male,18-30,Camp (Mina),Bus,7 days,11853,3
238,UAE,Female,31-45,Camp (Mina),Bus,10 days,37222,2
239,UAE,Female,18-30,Hotel (3 Star),Train (Haramain),7 days,23320,5
240,Indonesia,Male,31-45,Hotel (3 Star),Private Car,7 days,33618,1
241,Indonesia,Male,46-60,Hotel (5 Star),Bus,21 days,22352,5
242,Indonesia,Female,60+,Apartment,Group Transport,14 days,12297,3
243,Turkey,Female,60+,Camp (Mina),Train (Haramain),10 days,32940,3
244,Bangladesh,Female,18-30,Hotel (3 Star),Train (Haramain),7 days,8203,3
245,Nigeria,Male,18-30,Hotel (5 Star),Group Transport,14 days,22273,3
246,Bangladesh,Male,18-30,Camp (Mina),Bus,14 days,30368,2
247,Pakistan,Male,46-60,Hotel (3 Star),Private Car,21 days,16650,3
248,Bangladesh,Male,31-45,Camp (Mina),Bus,21 days,35984,3
249,Turkey,Male,46-60,Hotel (5 Star),Group Transport,21 days,12382,2
250,Pakistan,Male,60+,Hotel (5 Star),Train (Haramain),10 days,5801,3
251,Bangladesh,Female,18-30,Camp (Mina),Private Car,7 days,24733,5
252,Turkey,Female,31-45,Apartment,Train (Haramain),21 days,14969,5
253,Nigeria,Male,60+,Camp (Mina),Group Transport,21 days,21733,4
254,Bangladesh,Female,60+,Hotel (3 Star),Bus,21 days,37449,5
255,Turkey,Female,60+,Apartment,Private Car,7 days,31143,1
256,Indonesia,Male,46-60,Hotel (3 Star),Train (Haramain),7 days,30705,1
257,UAE,Female,18-30,Camp (Mina),Train (Haramain),21 days,33363,1
258,Indonesia,Male,60+,Apartment,Train (Haramain),21 days,35720,2
259,UAE,Male,18-30,Hotel (3 Star),Bus,14 days,14972,5
260,India,Female,46-60,Camp (Mina),Private Car,21 days,38351,1
261,India,Male,60+,Camp (Mina),Bus,10 days,27412,4
262,India,Male,46-60,Apartment,Bus,10 days,29078,2
263,Nigeria,Male,46-60,Camp (Mina),Bus,21 days,27580,4
264,Indonesia,Male,18-30,Hotel (5 Star),Group Transport,7 days,19855,5
265,UAE,Male,60+,Hotel (3 Star),Group Transport,14 days,24569,3
266,Turkey,Male,46-60,Hotel (3 Star),Group Transport,7 days,30738,4
267,Pakistan,Male,60+,Camp (Mina),Private Car,21 days,11772,3
268,Turkey,Male,18-30,Camp (Mina),Bus,10 days,29874,2
269,Pakistan,Female,46-60,Hotel (5 Star),Bus,14 days,24731,4
270,Egypt,Female,18-30,Apartment,Group Transport,7 days,15131,4
271,Turkey,Female,60+,Camp (Mina),Bus,7 days,5788,2
272,Bangladesh,Male,60+,Camp (Mina),Bus,21 days,21184,2
273,Bangladesh,Male,18-30,Camp (Mina),Train (Haramain),14 days,35897,1
274,Malaysia,Female,31-45,Camp (Mina),Bus,10 days,7889,5
275,Indonesia,Female,46-60,Hotel (3 Star),Train (Haramain),21 days,14569,4
276,Pakistan,Female,60+,Camp (Mina),Bus,14 days,26657,4
277,Pakistan,Male,60+,Hotel (3 Star),Private Car,7 days,15141,2
278,Indonesia,Female,46-60,Camp (Mina),Group Transport,21 days,24656,2
279,Nigeria,Female,18-30,Apartment,Train (Haramain),7 days,26618,5
280,Malaysia,Male,18-30,Hotel (5 Star),Group Transport,7 days,16934,2
281,Nigeria,Female,18-30,Apartment,Train (Haramain),21 days,28286,3
282,Nigeria,Male,31-45,Camp (Mina),Train (Haramain),21 days,12612,3
283,Nigeria,Male,31-45,Camp (Mina),Train (Haramain),21 days,37069,3
284,Indonesia,Male,60+,Camp (Mina),Private Car,21 days,21205,3
285,Nigeria,Female,18-30,Apartment,Bus,21 days,32331,5
286,Bangladesh,Female,46-60,Camp (Mina),Train (Haramain),7 days,18934,4
287,India,Male,60+,Apartment,Private Car,10 days,15095,3
288,Egypt,Female,46-60,Hotel (3 Star),Train (Haramain),10 days,30958,2
289,Pakistan,Female,60+,Hotel (5 Star),Bus,21 days,23706,3
290,Pakistan,Female,31-45,Hotel (5 Star),Train (Haramain),7 days,36472,5
291,Egypt,Female,60+,Apartment,Private Car,10 days,39629,2
292,Indonesia,Male,31-45,Hotel (3 Star),Bus,10 days,28004,3
293,Turkey,Female,60+,Apartment,Private Car,10 days,25431,4
294,Indonesia,Male,18-30,Hotel (3 Star),Bus,7 days,39502,2
295,Pakistan,Male,46-60,Camp (Mina),Bus,21 days,36385,2
296,Pakistan,Female,18-30,Hotel (3 Star),Group Transport,21 days,9663,4
297,Egypt,Male,60+,Hotel (3 Star),Group Transport,21 days,17818,2
298,Nigeria,Female,60+,Hotel (3 Star),Group Transport,14 days,27686,3
299,Indonesia,Female,60+,Hotel (5 Star),Bus,14 days,28977,2
300,UAE,Male,31-45,Hotel (3 Star),Train (Haramain),14 days,23454,3
301,Egypt,Male,46-60,Camp (Mina),Private Car,7 days,18358,4
302,Bangladesh,Male,46-60,Camp (Mina),Private Car,10 days,11668,1
303,Pakistan,Male,60+,Camp (Mina),Private Car,10 days,14921,4
304,Egypt,Female,60+,Hotel (3 Star),Group Transport,7 days,39959,3
305,Indonesia,Female,31-45,Apartment,Bus,7 days,37328,5
306,Pakistan,Female,18-30,Apartment,Group Transport,21 days,13859,4
307,Turkey,Male,18-30,Camp (Mina),Train (Haramain),21 days,28970,5
308,Egypt,Male,46-60,Hotel (5 Star),Bus,14 days,13872,5
309,Malaysia,Male,31-45,Apartment,Private Car,14 days,24230,3
310,Pakistan,Female,60+,Hotel (3 Star),Group Transport,7 days,31708,3
311,Indonesia,Male,46-60,Apartment,Group Transport,14 days,23847,1
312,India,Female,31-45,Camp (Mina),Train (Haramain),10 days,32105,2
313,UAE,Male,18-30,Hotel (5 Star),Train (Haramain),7 days,9922,4
314,UK,Female,31-45,Apartment,Group Transport,7 days,9392,3
315,Nigeria,Female,18-30,Apartment,Train (Haramain),10 days,18541,4
316,UK,Male,31-45,Camp (Mina),Private Car,21 days,24551,5
317,Indonesia,Male,46-60,Hotel (5 Star),Train (Haramain),21 days,24381,2
318,Bangladesh,Female,18-30,Hotel (5 Star),Train (Haramain),10 days,27948,1
319,Bangladesh,Female,46-60,Camp (Mina),Group Transport,10 days,31728,4
320,India,Male,46-60,Hotel (3 Star),Group Transport,14 days,7024,2
321,Nigeria,Male,18-30,Apartment,Bus,7 days,21713,1
322,Malaysia,Female,18-30,Hotel (3 Star),Bus,14 days,7486,4
323,India,Male,60+,Apartment,Group Transport,10 days,6155,2
324,UK,Female,60+,Apartment,Train (Haramain),14 days,15082,3
325,India,Female,60+,Hotel (3 Star),Train (Haramain),10 days,23569,4
326,UK,Male,46-60,Camp (Mina),Bus,14 days,12086,2
327,Pakistan,Male,46-60,Camp (Mina),Bus,14 days,7317,1
328,Bangladesh,Male,60+,Apartment,Bus,21 days,9491,2
329,Pakistan,Male,46-60,Camp (Mina),Private Car,10 days,20916,3
330,UAE,Male,46-60,Apartment,Private Car,14 days,20248,4
331,Nigeria,Female,18-30,Camp (Mina),Bus,7 days,7511,4
332,Malaysia,Female,18-30,Apartment,Train (Haramain),14 days,29226,4
333,UK,Male,46-60,Camp (Mina),Bus,14 days,30025,3
334,Malaysia,Male,60+,Hotel (5 Star),Private Car,7 days,12848,1
335,UK,Male,31-45,Hotel (3 Star),Train (Haramain),10 days,19274,4
336,Indonesia,Female,60+,Hotel (5 Star),Private Car,21 days,35958,1
337,India,Male,31-45,Hotel (3 Star),Train (Haramain),21 days,21304,2
338,UAE,Male,60+,Hotel (3 Star),Private Car,21 days,16294,1
339,Bangladesh,Female,18-30,Apartment,Train (Haramain),7 days,31425,1
340,UK,Female,46-60,Hotel (3 Star),Train (Haramain),14 days,8175,4
341,Malaysia,Male,46-60,Hotel (5 Star),Train (Haramain),10 days,32775,5
342,UAE,Male,18-30,Hotel (5 Star),Train (Haramain),14 days,14425,5
343,Turkey,Male,31-45,Camp (Mina),Group Transport,21 days,31013,3
344,Turkey,Female,31-45,Hotel (5 Star),Private Car,14 days,32928,3
345,Pakistan,Male,31-45,Camp (Mina),Private Car,7 days,13210,5
346,Bangladesh,Male,18-30,Hotel (3 Star),Group Transport,7 days,7759,2
347,Indonesia,Male,31-45,Hotel (5 Star),Train (Haramain),10 days,21091,4
348,Malaysia,Female,18-30,Hotel (3 Star),Train (Haramain),10 days,5002,4
349,India,Female,60+,Hotel (5 Star),Private Car,21 days,35160,2
350,India,Male,60+,Hotel (5 Star),Group Transport,10 days,25707,2
351,Malaysia,Male,18-30,Camp (Mina),Train (Haramain),14 days,20248,5
352,Nigeria,Female,46-60,Hotel (3 Star),Train (Haramain),7 days,10773,3
353,Indonesia,Female,60+,Hotel (5 Star),Train (Haramain),7 days,17786,2
354,UAE,Female,31-45,Apartment,Bus,7 days,20037,3
355,UK,Female,18-30,Hotel (3 Star),Group Transport,10 days,6885,1
356,Nigeria,Female,31-45,Hotel (3 Star),Train (Haramain),7 days,21331,4
357,UK,Female,31-45,Hotel (3 Star),Bus,7 days,27495,5
358,UK,Female,46-60,Camp (Mina),Group Transport,7 days,18450,4
359,Nigeria,Female,31-45,Apartment,Train (Haramain),21 days,14491,5
360,Pakistan,Female,46-60,Hotel (3 Star),Private Car,21 days,14268,1
361,Turkey,Male,60+,Hotel (5 Star),Bus,10 days,32757,4
362,UK,Male,18-30,Hotel (5 Star),Bus,7 days,11791,1
363,Nigeria,Male,31-45,Camp (Mina),Train (Haramain),10 days,33314,5
364,Nigeria,Female,18-30,Hotel (5 Star),Train (Haramain),7 days,33583,2
365,Egypt,Male,31-45,Hotel (3 Star),Bus,7 days,26550,4
366,Pakistan,Female,18-30,Hotel (5 Star),Private Car,7 days,5093,1
367,Bangladesh,Female,31-45,Hotel (3 Star),Private Car,10 days,14967,4
368,Egypt,Male,31-45,Hotel (5 Star),Group Transport,10 days,21218,4
369,Egypt,Female,31-45,Apartment,Train (Haramain),7 days,13627,4
370,Malaysia,Male,31-45,Camp (Mina),Private Car,14 days,9947,3
371,Turkey,Male,31-45,Camp (Mina),Group Transport,10 days,28178,1
372,Nigeria,Male,31-45,Apartment,Private Car,21 days,33876,1
373,Turkey,Female,31-45,Apartment,Train (Haramain),10 days,27908,4
374,Indonesia,Male,31-45,Camp (Mina),Group Transport,7 days,24971,2
375,Malaysia,Female,31-45,Apartment,Group Transport,14 days,37584,4
